ID;Corps_Statut;Typ_Personnels;Corps_Grades;Grades;Categorie;"Indice Minimum avant
01/03/2022";"Indice Minimum
A partir du 01/03/2022";"Indice Minimum
A partir du 01/01/2023";"Indice Minimum
A partir du 01/01/2024"
1;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Maîtres de l'Ecole Primaire;Instructeur;7;348;398;473;548
2;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur de l'’école primaire;11;498;548;623;698
3;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur Principal de l'’école primaire;12;537;587;662;737
4;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur Formateur de l'’école primaire;14;621;671;746;821
5;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Maitre de l'école primaire;10;453;503;578;653
6;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur de l’enseignement primaire;12;537;587;662;737
7;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur de l’enseignement primaire classe 1;13;578;628;703;778
8;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur de l’enseignement primaire classe 2;14;621;671;746;821
9;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Ecole primaire;Professeur émérite de l’enseignement primaire;15;666;716;791;866
10;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Fondamental;Professeur de l’'enseignement fondamental;11;498;548;623;698
11;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur de l’'enseignement moyen;12;537;587;662;737
12;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Prof.Coordinateur d'Enseign.Moyen;12;537;587;662;737
13;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur Principal de l’'enseignement moyen;13;578;628;703;778
14;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur Formateur de l’'enseignement moyen;15;666;716;791;866
15;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur de l’enseignement moyen classe 1;13;578;628;703;778
16;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur de l’enseignement moyen classe 2;15;666;716;791;866
17;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement Moyen;Professeur émérite de l’enseignement moyen;16;713;763;838;913
18;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs Techniques de Lycée;Professeur technique de lycée-chef d’'atelier;11;498;548;623;698
19;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs Techniques de Lycée;Professeur technique de lycée, chef de travaux;12;537;587;662;737
20;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur de l’'enseignement secondaire;13;578;628;703;778
21;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Prof.Coordinateur d'Enseign.Secondaire;13;578;628;703;778
22;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur Principal de l'’enseignement secondaire;14;621;671;746;821
23;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur Formateur de l'’enseignement secondaire;16;713;763;838;913
24;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur de l’enseignement secondaire classe 1;14;621;671;746;821
25;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur de l’enseignement secondaire classe 2;16;713;763;838;913
26;Corps Spécifiques de l'Education Nationale;Personnels Enseignants;Corps des Professeurs de l'Enseignement secondaire;Professeur émérite de l’enseignement secondaire;17;762;812;887;962
27;Enseignants Contractuels;Personnels Contractuels Enseignants du Primaire;Prof.Contractuel de l’'Enseign. Primaire;Prof.Contractuel de l'’école primaire;12;537;587;662;737
28;Enseignants Contractuels;Personnels Contractuels Enseignants  du CEM;Prof.Contractuel de l’'Enseign. Moyen;Prof.Contractuel de l’'Enseign. Moyen;12;537;587;662;737
29;Enseignants Contractuels;Personnels Contractuels Enseignants  du Lycée;Prof.Contractuel de l’'Enseign. Secondaire;Prof.Contractuel de l’'Enseign. Secondaire;13;578;628;703;778
30;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Adjoints de l'Education;Adjoint de l’'éducation;7;348;398;473;548
31;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Adjoints de l'Education;Adjoint principal de l’'éducation;8;379;429;504;579
32;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Superviseur de l’'éducation;10;453;503;578;653
33;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Superviseur principal de l’'éducation;11;498;548;623;698
34;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Superviseur de l’éducation en chef;12;537;587;662;737
35;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Superviseur général de l’éducation;13;578;628;703;778
36;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Educateur spécialisé en soutien éducatif;10;453;503;578;653
37;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Educateur spécialisé principal en soutien éducatif;11;498;548;623;698
38;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Educateur spécialisé en chef en soutien éducatif;12;537;587;662;737
39;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Superviseurs de l'Education;Educateur spécialisé général en soutien éducatif;13;578;628;703;778
40;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Conseillers de l'Education;Conseiller de l’'éducation;13;578;628;703;778
41;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Conseillers de l'Education;Conseiller principal de l’'éducation;13;578;628;703;778
42;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Conseillers de l'Education;Conseiller de l’'éducation en chef;14;621;671;746;821
43;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Censeurs de lycée;Censeur de lycée;14;621;671;746;821
44;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Censeurs;Censeur de l’enseignement primaire;14;621;671;746;821
45;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Censeurs;Censeur de l’enseignement moyen;15;666;716;791;866
46;Corps Spécifiques de l'Education Nationale;Personnels d'Education;Corps des Censeurs;Censeur de l’enseignement secondaire;16;713;763;838;913
47;Corps Spécifiques de l'Education Nationale;Personnels de l'Orientation et Guid. Scol.et Profess.;Corps des Conseillers de l'orientation scolaire et professionnelle;Conseiller de l’'orientation scolaire et professionnelle (Cat 10);10;453;503;578;653
48;Corps Spécifiques de l'Education Nationale;Personnels de l'Orientation et Guid. Scol.et Profess.;Corps des Conseillers de l'orientation et de la guidance scolaire et professionnelle;Conseiller de l’orientation et de la guidance scolaire et professionnelle;12;537;587;662;737
49;Corps Spécifiques de l'Education Nationale;Personnels de l'Orientation et Guid. Scol.et Profess.;Corps des Conseillers de l'orientation et de la guidance scolaire et professionnelle;Conseiller principal de l'’orientation et de la guidance scolaire et professionnelle (Cat 13);13;578;628;703;778
50;Corps Spécifiques de l'Education Nationale;Personnels de l'Orientation et Guid. Scol.et Profess.;Corps des Conseillers de l'orientation et de la guidance scolaire et professionnelle;Conseiller analyste de l’orientation et de la guidance scolaire et professionnelle;13;578;628;703;778
51;Corps Spécifiques de l'Education Nationale;Personnels de l'Orientation et Guid. Scol.et Profess.;Corps des Conseillers de l'orientation et de la guidance scolaire et professionnelle;Conseiller principal de l'’orientation et de la guidance scolaire et professionnelle;14;621;671;746;821
52;Corps Spécifiques de l'Education Nationale;Personnels de l'Orientation et Guid. Scol.et Profess.;Corps des Conseillers de l'orientation et de la guidance scolaire et professionnelle;Conseiller en chef de l’orientation et de la guidance scolaire et professionnelle;16;713;763;838;913
53;Corps Spécifiques de l'Education Nationale;Personnels de l'alimentation scolaire;Corps des Conseillers en alimentation scolaire;Conseiller en alimentation scolaire (Cat 11);11;498;548;623;698
54;Corps Spécifiques de l'Education Nationale;Personnels de l'alimentation scolaire;Corps des Conseillers en alimentation scolaire;Conseiller en alimentation scolaire;12;537;587;662;737
55;Corps Spécifiques de l'Education Nationale;Personnels de l'alimentation scolaire;Corps des Conseillers en alimentation scolaire;Conseiller principal en alimentation scolaire;13;578;628;703;778
56;Corps Spécifiques de l'Education Nationale;Personnels de l'alimentation scolaire;Corps des Conseillers en alimentation scolaire;Conseiller en chef en alimentation scolaire;14;621;671;746;821
57;Corps Spécifiques de l'Education Nationale;Personnels de Direction des Etabliss.d'Enseign.;Corps des Directeurs des ?coles primaires;Assistant du directeur de l’'école primaire;12;537;587;662;737
58;Corps Spécifiques de l'Education Nationale;Personnels de Direction des Etabliss.d'Enseign.;Corps des Directeurs des ?coles primaires;Directeur de l’'école primaire (Cat 14);14;621;671;746;821
59;Corps Spécifiques de l'Education Nationale;Personnels de Direction des Etabliss.d'Enseign.;Corps des Directeurs de colléges;Directeur de collčge (Cat 15);15;666;716;791;866
60;Corps Spécifiques de l'Education Nationale;Personnels de Direction des Etabliss.d'Enseign.;Corps des Directeurs de lycées;Directeur de lycée (Cat 16);16;713;763;838;913
61;Corps Spécifiques de l'Education Nationale;Personnels de Direction des Etabliss.d'Enseign.;Corps des Directeurs des ?coles primaires;Directeur de l’'école primaire;15;666;716;791;866
62;Corps Spécifiques de l'Education Nationale;Personnels de Direction des Etabliss.d'Enseign.;Corps des Directeurs de colléges;Directeur de collčge;16;713;763;838;913
63;Corps Spécifiques de l'Education Nationale;Personnels de Direction des Etabliss.d'Enseign.;Corps des Directeurs de lycées;Directeur de lycée;17;762;812;887;962
64;Corps Spécifiques de l'Education Nationale;Personnels d'Intendance;Corps des Adjoints des services ?conomiques;Adjoint des services économiques;7;348;398;473;548
65;Corps Spécifiques de l'Education Nationale;Personnels d'Intendance;Corps des Adjoints des services ?conomiques;Adjoint principal des services économiques;8;379;429;504;579
66;Corps Spécifiques de l'Education Nationale;Personnels d'Intendance;Corps des Sous-intendants;Sous-intendant;10;453;503;578;653
67;Corps Spécifiques de l'Education Nationale;Personnels d'Intendance;Corps des Sous-intendants;Sous-intendant gestionnaire;11;498;548;623;698
68;Corps Spécifiques de l'Education Nationale;Personnels d'Intendance;Corps des Intendants;Intendant;13;578;628;703;778
69;Corps Spécifiques de l'Education Nationale;Personnels d'Intendance;Corps des Intendants;Intendant principal;14;621;671;746;821
70;Corps Spécifiques de l'Education Nationale;Personnels de Laboratoire;Corps des Aides techniques de laboratoire;Aide technique de laboratoire;4;263;313;388;463
71;Corps Spécifiques de l'Education Nationale;Personnels de Laboratoire;Corps des Agents techniques de laboratoire;Agent technique de laboratoire;5;288;338;413;488
72;Corps Spécifiques de l'Education Nationale;Personnels de Laboratoire;Corps des Adjoints techniques de laboratoire;Adjoint technique de laboratoire;7;348;398;473;548
73;Corps Spécifiques de l'Education Nationale;Personnels de Laboratoire;Corps des Attachés de laboratoire;Attaché de laboratoire;8;379;429;504;579
74;Corps Spécifiques de l'Education Nationale;Personnels de Laboratoire;Corps des Attachés de laboratoire;Attaché principal de laboratoire;10;453;503;578;653
75;Corps Spécifiques de l'Education Nationale;Personnels de Laboratoire;Corps des Attachés de laboratoire;Attaché en chef de laboratoire;11;498;548;623;698
76;Corps Spécifiques de l'Education Nationale;Personnels de Laboratoire;Corps des Attachés de laboratoire;Attaché superviseur de laboratoire;12;537;587;662;737
77;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement primaire;Inspecteur de l’enseignement primaire;15;666;716;791;866
78;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’orientation et de la guidance scolaire et professionnelle;"Inspecteur de l’orientation et de la
guidance scolaire et professionnelle";15;666;716;791;866
79;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement moyen;Inspecteur de l’enseignement moyen;16;713;763;838;913
80;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’éducation nationale;Inspecteur de l’éducation nationale (Cat 17);17;762;812;887;962
81;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement primaire;Inspecteurs de l’enseignement primaire spécialité disciplines;17;762;812;887;962
82;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement primaire;Inspecteur de l’enseignement primaire spécialité administration des écoles primaires;17;762;812;887;962
83;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement primaire;Inspecteur de l’enseignement primaire spécialité alimentation scolaire;17;762;812;887;962
84;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement moyen;Inspecteur de l’enseignement moyen spécialité disciplines;17;762;812;887;962
85;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement moyen;Inspecteur de l’enseignement moyen spécialité administration des collčges;17;762;812;887;962
86;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement moyen;Inspecteur de l’orientation et de la guidance scolaire et professionnelle aux collčges;17;762;812;887;962
87;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement moyen;Inspecteur de la gestion financičre et matérielle des collčges;16;713;763;838;913
88;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement secondaire;Inspecteur de l’enseignement secondaire spécialité disciplines;Hors catégorie-subdivision1;0;980;1055;1130
89;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement secondaire;Inspecteur de l’enseignement secondaire spécialité administration des lycées;Hors catégorie-subdivision1;0;980;1055;1130
90;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement secondaire;Inspecteur de l’orientation et de la guidance scolaire et professionnelle aux lycées;Hors catégorie-subdivision1;0;980;1055;1130
91;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement secondaire;Inspecteur de la gestion financičre et matérielle des lycées;17;762;812;887;962
92;Corps Spécifiques de l'Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement secondaire;Inspecteur de l’éducation nationale;Hors catégorie-subdivision2;0;1040;1115;1190
93;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Administrateurs;Administrateur;12;537;587;662;737
94;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Administrateurs;Administrateur analyste;13;578;628;703;778
95;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Administrateurs;Administrateur principal;14;621;671;746;821
96;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Administrateurs;Administrateur conseiller;16;713;763;838;913
97;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Assistants administrateurs;Assistant administrateur;11;498;548;623;698
98;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Attachés d'Administration;Attaché d'administration;9;418;468;543;618
99;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Attachés d'Administration;Attaché Principal d'administration;10;453;503;578;653
100;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Agents d'Administration;Agent de bureau;5;288;338;413;488
101;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Agents d'Administration;Agent d'administration;7;348;398;473;548
102;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Agents d'Administration;Agent Principal d'administration;8;379;429;504;579
103;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Agents d'Administration;Agent de saisie;5;288;338;413;488
104;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Secrétaires;Secretaire;6;315;365;440;515
105;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Secrétaires;Secretaire de direction;8;379;429;504;579
106;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Secrétaires;Secretaire Principal de direction;10;453;503;578;653
107;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Comptables administratifs;Aide-comptable administratif;5;288;338;413;488
108;Corps Communs aux Instit.et Adm.Publiques ;"Personnels de la Filiére ""Administration générale""";Corps des Comptables administratifs;Comptable administratif;8;379;429;504;579
